,,,,,,,
"The Nordic List",,,,,,,
"Companies 2008-07-18",,,,,,,
" ",,,,,,,
,Currency,Exchange,,,"Short Name",ISIN,
,,,,,,,
"Forstædernes Bank",DKK,CSE,MID,Financials,FORST,DK0060076354,
"Føroya Banki P/F",DKK,CSE,MID,Financials,"FO-BANK CSE",FO0000000088,
"Føroya Banki P/F",DKK,ISE,MID,Financials,FO-BANK,FO0000000088,
Grønlandsbanken,DKK,CSE,MID,Financials,GRLA,DK0010230630,
"Heba Fastighets AB ser. B",SEK,STO,MID,Financials,"HEBA B",SE0000236515,
"HQ AB",SEK,STO,MID,Financials,HQ,SE0000622656,
Jeudan,DKK,CSE,MID,Financials,JDAN,DK0010171362,
"Klövern AB",SEK,STO,MID,Financials,KLOV,SE0000331225,
"Kungsleden AB",SEK,STO,MID,Financials,KLED,SE0000549412,
"Lån og Spar Bank",DKK,CSE,MID,Financials,LASP,DK0010201532,
"NeoNet AB",SEK,STO,MID,Financials,NEO,SE0000706913,
Nordicom,DKK,CSE,MID,Financials,NRDC,DK0010158500,
"Nordjyske Bank",DKK,CSE,MID,Financials,NORDJB,DK0060034353,
"Nordnet AB ser. B",SEK,STO,MID,Financials,"NN B",SE0000371296,
"Nørresundby Bank",DKK,CSE,MID,Financials,NRSU,DK0060135549,
"Ringkjøbing Landbobank",DKK,CSE,MID,Financials,RILBA,DK0060032068,
"Roskilde Bank",DKK,CSE,MID,Financials,ROSK,DK0060056083,
"Schaumann Properties",DKK,CSE,MID,Financials,SCHAUP,DK0010250075,
"Sjælsø Gruppen",DKK,CSE,MID,Financials,SJGR,DK0010241751,
"Skanditek Industriförvaltning AB.",SEK,STO,MID,Financials,STEK,SE0000535593,
"Spar Nord Bank",DKK,CSE,MID,Financials,SPNO,DK0060036564,
Sparbank,DKK,CSE,MID,Financials,SPB,DK0010305820,
"Sparekassen Faaborg",DKK,CSE,MID,Financials,SPFA,DK0010150523,
"Sparekassen Himmerland",DKK,CSE,MID,Financials,SPHIM,DK0060050045,
"Sparekassen Lolland A/S",DKK,CSE,MID,Financials,SPALOL,DK0060090777,
"Sparisjóður Reykjavíkur og nágrennis.hf.",ISK,ISE,MID,Financials,SPRON,IS0000010932,
"Sponda Oyj",EUR,HEL,MID,Financials,SDA1V,FI0009006829,
"SäkI AB",SEK,STO,MID,Financials,SAEK,SE0000379075,
"Technopolis Oyj",EUR,HEL,MID,Financials,TPS1V,FI0009006886,
"TK Development",DKK,CSE,MID,Financials,TKDV,DK0010258995,
"Wallenstam Byggnads AB., Lennart ser. B",SEK,STO,MID,Financials,"WALL B",SE0000115008,
"Vestjysk Bank",DKK,CSE,MID,Financials,VJBA,DK0010304500,
"Wihlborgs Fastigheter AB",SEK,STO,MID,Financials,WIHL,SE0001413600,
"Vostok Nafta Investment Ltd, SDB",SEK,STO,MID,Financials,"VNIL SDB",SE0002056721,
"Ålandsbanken Abp A",EUR,HEL,MID,Financials,ALBAV,FI0009000103,
"Ålandsbanken Abp B",EUR,HEL,MID,Financials,ALBBV,FI0009001127,
"Öresund, Investmentab",SEK,STO,MID,Financials,ORES,SE0000115610,
"Active Biotech AB",SEK,STO,MID,"Health Care",ACTI,SE0001137985,
"ALK-Abelló B",DKK,CSE,MID,"Health Care","ALK B",DK0060027142,
"Bavarian Nordic",DKK,CSE,MID,"Health Care",BAVA,DK0015998017,
"BioInvent International AB",SEK,STO,MID,"Health Care",BINV,SE0000789711,
"Biovitrum AB",SEK,STO,MID,"Health Care",BVT,SE0000872095,
"GN Store Nord",DKK,CSE,MID,"Health Care",GN,DK0010272632,
"LifeCycle Pharma A/S",DKK,CSE,MID,"Health Care",LCP,DK0060048148,
NeuroSearch,DKK,CSE,MID,"Health Care",NEUR,DK0010224666,
"Oriola-KD Oyj A",EUR,HEL,MID,"Health Care",OKDAV,FI0009014344,
"Oriola-KD Oyj B",EUR,HEL,MID,"Health Care",OKDBV,FI0009014351,
"Q-Med AB",SEK,STO,MID,"Health Care",QMED,SE0000426462,
"SECTRA AB ser B",SEK,STO,MID,"Health Care","SECT B",SE0000408189,
"Össur hf.",ISK,ISE,MID,"Health Care",OSSR,IS0000000040,
